locationid,countyname,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,year,datasource
13121001101,Fulton,7.7,6.9,8.7,3523,2023,BRFSS
13121001102,Fulton,8.0,7.0,9.0,3997,2023,BRFSS
13121001203,Fulton,8.2,7.3,9.3,2028,2023,BRFSS
13121001204,Fulton,7.9,7.0,8.9,2127,2023,BRFSS
13121001205,Fulton,7.8,6.9,8.9,2615,2023,BRFSS
13121001206,Fulton,7.7,6.9,8.7,4296,2023,BRFSS
13121001301,Fulton,8.3,7.3,9.3,2299,2023,BRFSS
13121001302,Fulton,8.9,7.9,10.1,2179,2023,BRFSS
13121001400,Fulton,8.3,7.4,9.4,2504,2023,BRFSS
13121001501,Fulton,9.0,7.9,10.3,2445,2023,BRFSS
13121001502,Fulton,9.0,8.0,10.3,2364,2023,BRFSS
13121001600,Fulton,8.3,7.4,9.5,2460,2023,BRFSS
13121001701,Fulton,10.1,8.9,11.4,2204,2023,BRFSS
13121001702,Fulton,8.4,7.4,9.4,3531,2023,BRFSS
13121001801,Fulton,10.4,9.2,11.7,2037,2023,BRFSS
13121001802,Fulton,9.5,8.4,10.7,2474,2023,BRFSS
13121001901,Fulton,11.8,10.2,13.6,2227,2023,BRFSS
13121001902,Fulton,9.2,8.1,10.4,2258,2023,BRFSS
13121002100,Fulton,9.8,8.6,11.0,2521,2023,BRFSS
13121002300,Fulton,11.7,10.3,13.2,1225,2023,BRFSS
13121002400,Fulton,11.8,10.4,13.3,2504,2023,BRFSS
13121002500,Fulton,12.2,10.8,13.8,2273,2023,BRFSS
13121002600,Fulton,12.3,10.8,13.9,1123,2023,BRFSS
13121002801,Fulton,10.7,9.3,12.1,4441,2023,BRFSS
13121002802,Fulton,12.2,10.7,13.9,3462,2023,BRFSS
13121002900,Fulton,8.8,7.7,9.9,2553,2023,BRFSS
13121003000,Fulton,8.4,7.5,9.5,4058,2023,BRFSS
13121003100,Fulton,9.0,8.0,10.1,2250,2023,BRFSS
13121003200,Fulton,8.7,7.7,9.8,2426,2023,BRFSS
13121003500,Fulton,8.9,7.9,10.1,4258,2023,BRFSS
13121003600,Fulton,10.2,9.0,11.6,902,2023,BRFSS
13121003700,Fulton,12.1,10.7,13.7,191,2023,BRFSS
13121003800,Fulton,10.6,9.2,12.1,3456,2023,BRFSS
13121003900,Fulton,12.3,10.9,13.9,1756,2023,BRFSS
13121004000,Fulton,10.6,9.4,12.0,2325,2023,BRFSS
13121004100,Fulton,10.5,9.2,11.8,1949,2023,BRFSS
13121004200,Fulton,12.3,10.8,13.8,2443,2023,BRFSS
13121004300,Fulton,13.5,11.6,15.5,2475,2023,BRFSS
13121004400,Fulton,13.5,12.0,15.2,2667,2023,BRFSS
13121004800,Fulton,12.6,11.1,14.2,1175,2023,BRFSS
13121004900,Fulton,9.2,8.2,10.4,2871,2023,BRFSS
13121005000,Fulton,8.8,7.8,9.8,3366,2023,BRFSS
13121005200,Fulton,9.1,8.0,10.3,4719,2023,BRFSS
13121005300,Fulton,9.0,8.0,10.1,4165,2023,BRFSS
13121005501,Fulton,11.4,10.0,12.8,2505,2023,BRFSS
13121005503,Fulton,13.5,12.0,15.3,1786,2023,BRFSS
13121005504,Fulton,11.8,10.4,13.3,1235,2023,BRFSS
13121005700,Fulton,11.9,10.5,13.5,1550,2023,BRFSS
13121005800,Fulton,10.4,9.3,11.8,1528,2023,BRFSS
13121006000,Fulton,11.2,10.0,12.7,3140,2023,BRFSS
