GEOID,NAME,B01003_001E
13121004800,Census Tract 48; Fulton County; Georgia,1347
13121004900,Census Tract 49; Fulton County; Georgia,3082
13121005000,Census Tract 50; Fulton County; Georgia,3502
13121005200,Census Tract 52; Fulton County; Georgia,4872
13121005300,Census Tract 53; Fulton County; Georgia,4031
13121005501,Census Tract 55.01; Fulton County; Georgia,3039
13121005503,Census Tract 55.03; Fulton County; Georgia,1505
13121005504,Census Tract 55.04; Fulton County; Georgia,1344
13121005700,Census Tract 57; Fulton County; Georgia,1248
13121005800,Census Tract 58; Fulton County; Georgia,1208
13121006000,Census Tract 60; Fulton County; Georgia,3408
13121006100,Census Tract 61; Fulton County; Georgia,3360
13121006200,Census Tract 62; Fulton County; Georgia,1509
13121006300,Census Tract 63; Fulton County; Georgia,1750
13121006400,Census Tract 64; Fulton County; Georgia,772
13121006500,Census Tract 65; Fulton County; Georgia,3420
13121006601,Census Tract 66.01; Fulton County; Georgia,1488
13121006602,Census Tract 66.02; Fulton County; Georgia,829
13121006701,Census Tract 67.01; Fulton County; Georgia,2816
13121006702,Census Tract 67.02; Fulton County; Georgia,1744
13121006801,Census Tract 68.01; Fulton County; Georgia,1758
13121006802,Census Tract 68.02; Fulton County; Georgia,1521
13121006900,Census Tract 69; Fulton County; Georgia,3592
13121007001,Census Tract 70.01; Fulton County; Georgia,3284
13121007002,Census Tract 70.02; Fulton County; Georgia,3067
13121007100,Census Tract 71; Fulton County; Georgia,2391
13121007200,Census Tract 72; Fulton County; Georgia,1833
13121007301,Census Tract 73.01; Fulton County; Georgia,3827
13121007302,Census Tract 73.02; Fulton County; Georgia,2447
13121007400,Census Tract 74; Fulton County; Georgia,3173
13121007500,Census Tract 75; Fulton County; Georgia,3072
13121007602,Census Tract 76.02; Fulton County; Georgia,2828
13121007603,Census Tract 76.03; Fulton County; Georgia,3454
13121007604,Census Tract 76.04; Fulton County; Georgia,3385
13121007703,Census Tract 77.03; Fulton County; Georgia,3459
13121007705,Census Tract 77.05; Fulton County; Georgia,4250
13121007707,Census Tract 77.07; Fulton County; Georgia,1931
13121007708,Census Tract 77.08; Fulton County; Georgia,3152
13121007709,Census Tract 77.09; Fulton County; Georgia,4347
13121007710,Census Tract 77.10; Fulton County; Georgia,2988
13121007711,Census Tract 77.11; Fulton County; Georgia,3037
13121007805,Census Tract 78.05; Fulton County; Georgia,4895
13121007806,Census Tract 78.06; Fulton County; Georgia,5770
13121007807,Census Tract 78.07; Fulton County; Georgia,3916
13121007808,Census Tract 78.08; Fulton County; Georgia,3278
13121007809,Census Tract 78.09; Fulton County; Georgia,5009
13121007810,Census Tract 78.10; Fulton County; Georgia,4239
13121007900,Census Tract 79; Fulton County; Georgia,4971
13121008000,Census Tract 80; Fulton County; Georgia,5628
13121008103,Census Tract 81.03; Fulton County; Georgia,3498
13121008104,Census Tract 81.04; Fulton County; Georgia,3215
13121008202,Census Tract 82.02; Fulton County; Georgia,2284
13121008203,Census Tract 82.03; Fulton County; Georgia,2535
13121008204,Census Tract 82.04; Fulton County; Georgia,2763
13121008301,Census Tract 83.01; Fulton County; Georgia,2997
13121008302,Census Tract 83.02; Fulton County; Georgia,1831
13121008400,Census Tract 84; Fulton County; Georgia,2805
13121008500,Census Tract 85; Fulton County; Georgia,2258
13121008601,Census Tract 86.01; Fulton County; Georgia,5555
13121008602,Census Tract 86.02; Fulton County; Georgia,1298
13121008701,Census Tract 87.01; Fulton County; Georgia,3833
13121008702,Census Tract 87.02; Fulton County; Georgia,2290
13121008801,Census Tract 88.01; Fulton County; Georgia,1818
13121008802,Census Tract 88.02; Fulton County; Georgia,2815
13121008903,Census Tract 89.03; Fulton County; Georgia,2869
13121008905,Census Tract 89.05; Fulton County; Georgia,5268
13121008906,Census Tract 89.06; Fulton County; Georgia,2432
13121008907,Census Tract 89.07; Fulton County; Georgia,2858
13121008908,Census Tract 89.08; Fulton County; Georgia,2876
13121008909,Census Tract 89.09; Fulton County; Georgia,1635
13121009001,Census Tract 90.01; Fulton County; Georgia,2264
13121009002,Census Tract 90.02; Fulton County; Georgia,2776
13121009103,Census Tract 91.03; Fulton County; Georgia,3774
13121009104,Census Tract 91.04; Fulton County; Georgia,2809
13121009105,Census Tract 91.05; Fulton County; Georgia,1169
13121009106,Census Tract 91.06; Fulton County; Georgia,2500
13121009201,Census Tract 92.01; Fulton County; Georgia,1504
13121009202,Census Tract 92.02; Fulton County; Georgia,2816
13121009203,Census Tract 92.03; Fulton County; Georgia,2768
13121009301,Census Tract 93.01; Fulton County; Georgia,3871
13121009302,Census Tract 93.02; Fulton County; Georgia,1967
13121009405,Census Tract 94.05; Fulton County; Georgia,3769
13121009406,Census Tract 94.06; Fulton County; Georgia,1658
13121009407,Census Tract 94.07; Fulton County; Georgia,1090
13121009408,Census Tract 94.08; Fulton County; Georgia,1648
13121009409,Census Tract 94.09; Fulton County; Georgia,2075
13121009410,Census Tract 94.10; Fulton County; Georgia,3592
13121009411,Census Tract 94.11; Fulton County; Georgia,2485
13121009501,Census Tract 95.01; Fulton County; Georgia,3491
13121009503,Census Tract 95.03; Fulton County; Georgia,1633
13121009504,Census Tract 95.04; Fulton County; Georgia,2683
13121009601,Census Tract 96.01; Fulton County; Georgia,3190
13121009604,Census Tract 96.04; Fulton County; Georgia,2879
13121009605,Census Tract 96.05; Fulton County; Georgia,2625
13121009606,Census Tract 96.06; Fulton County; Georgia,1618
13121009607,Census Tract 96.07; Fulton County; Georgia,4716
13121009700,Census Tract 97; Fulton County; Georgia,3852
13121009802,Census Tract 98.02; Fulton County; Georgia,3936
13121009803,Census Tract 98.03; Fulton County; Georgia,2940
13121009804,Census Tract 98.04; Fulton County; Georgia,2436
13121009900,Census Tract 99; Fulton County; Georgia,4966
13121010003,Census Tract 100.03; Fulton County; Georgia,3698
13121010004,Census Tract 100.04; Fulton County; Georgia,2221
13121010005,Census Tract 100.05; Fulton County; Georgia,3154
13121010006,Census Tract 100.06; Fulton County; Georgia,4057
13121010007,Census Tract 100.07; Fulton County; Georgia,1850
13121010106,Census Tract 101.06; Fulton County; Georgia,3674
13121010107,Census Tract 101.07; Fulton County; Georgia,1935
13121010108,Census Tract 101.08; Fulton County; Georgia,4615
13121010115,Census Tract 101.15; Fulton County; Georgia,2764
13121010117,Census Tract 101.17; Fulton County; Georgia,4354
13121010120,Census Tract 101.20; Fulton County; Georgia,2606
13121010121,Census Tract 101.21; Fulton County; Georgia,2407
13121010124,Census Tract 101.24; Fulton County; Georgia,2340
13121010125,Census Tract 101.25; Fulton County; Georgia,4207
13121010126,Census Tract 101.26; Fulton County; Georgia,2399
13121010127,Census Tract 101.27; Fulton County; Georgia,2122
13121010128,Census Tract 101.28; Fulton County; Georgia,1699
13121010129,Census Tract 101.29; Fulton County; Georgia,4211
13121010130,Census Tract 101.30; Fulton County; Georgia,3813
13121010131,Census Tract 101.31; Fulton County; Georgia,2525
13121010132,Census Tract 101.32; Fulton County; Georgia,3352
13121010133,Census Tract 101.33; Fulton County; Georgia,5257
13121010134,Census Tract 101.34; Fulton County; Georgia,2178
13121010135,Census Tract 101.35; Fulton County; Georgia,2221
13121010136,Census Tract 101.36; Fulton County; Georgia,3417
13121010137,Census Tract 101.37; Fulton County; Georgia,3569
13121010204,Census Tract 102.04; Fulton County; Georgia,5278
13121010211,Census Tract 102.11; Fulton County; Georgia,3627
